id;libelle;code;date;unite_administrative_id;deleted
1;mint green e-business EXE;back-end;2020-06-01;35629;false
2;Gorgeous Profit-focused synergies;cutting-edge ability Hat;2020-06-02;41741;false
3;Bahamian Dollar;24/7;2020-06-01;16829;false
4;Mauritania;facilitate Tasty Concrete Chips Exclusive;2020-06-02;49724;true
5;Plastic;Computers Personal Loan Account Berkshire;2020-06-02;3305;false
6;Investor Public-key;Lebanon;2020-06-02;98565;true
7;Credit Card Account;navigate;2020-06-02;24215;true
8;web-enabled invoice withdrawal;bypassing optical;2020-06-02;32078;true
9;Argentine Peso;Kentucky Algerian Dinar Clothing;2020-06-02;80950;false
10;deposit Sausages;disintermediate Cambridgeshire hacking;2020-06-02;34106;true
