id;libelle;adresse_locale;deleted
1;Yuan Renminbi Centers;Factors;true
2;cross-platform access;Public-key;false
3;Bahamian Dollar Investment Account;Games Regional Digitized;true
4;hardware Costa Rica Mayotte;Industrial;true
5;Views e-enable Communications;National Awesome sky blue;false
6;software scale interactive;Louisiana Specialist Home Loan Account;false
7;scalable;Small;true
8;index orange;Jewelery;false
9;monitor 1080p Checking Account;world-class Frozen IB;true
10;archive Fantastic Plastic Chicken;payment;true
