id;adresse;port;nom_serveur;deleted
1;true;88349;back up Factors;false
2;false;55276;Wisconsin Facilitator Incredible;false
3;false;19091;eco-centric Bedfordshire mesh;false
4;true;84421;Intranet Ergonomic Concrete Soap Zambian Kwacha;false
5;false;25416;system-worthy portal;true
6;true;13662;array France protocol;false
7;true;25620;Personal Loan Account Sleek Beauty;true
8;true;19427;Handcrafted Cotton Bacon Unbranded Fresh Pants;false
9;false;57886;interfaces;true
10;false;32815;Towels Specialist;true
